Repository,Component Type,Ecosystem,Name,Version,Dependency Scope,Relationship,License,PURL or Reference,Metadata Source,Notes
workspace,library,npm,@fastify/cors,11.2.0,runtime,transitive runtime dependency,MIT,pkg:npm/%40fastify/cors@11.2.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/deepmerge,3.1.0,runtime,transitive runtime dependency,MIT,pkg:npm/%40fastify/deepmerge@3.1.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/error,4.2.0,runtime,transitive runtime dependency,MIT,pkg:npm/%40fastify/error@4.2.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/fast-json-stringify-compiler,5.0.3,runtime,transitive runtime dependency,MIT,pkg:npm/%40fastify/fast-json-stringify-compiler@5.0.3,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/forwarded,3.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/%40fastify/forwarded@3.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/helmet,13.0.2,runtime,transitive runtime dependency,MIT,pkg:npm/%40fastify/helmet@13.0.2,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/http-proxy,11.4.1,runtime,direct runtime dependency,MIT,pkg:npm/%40fastify/http-proxy@11.4.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/merge-json-schemas,0.2.1,runtime,transitive runtime dependency,MIT,pkg:npm/%40fastify/merge-json-schemas@0.2.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/multipart,9.3.0,runtime,direct runtime dependency,MIT,pkg:npm/%40fastify/multipart@9.3.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/multipart,9.4.0,runtime,transitive runtime dependency,MIT,pkg:npm/%40fastify/multipart@9.4.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/otel,0.16.0,runtime,direct runtime dependency,MIT,pkg:npm/%40fastify/otel@0.16.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/proxy-addr,5.1.0,runtime,transitive runtime dependency,MIT,pkg:npm/%40fastify/proxy-addr@5.1.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/rate-limit,10.3.0,runtime,transitive runtime dependency,MIT,pkg:npm/%40fastify/rate-limit@10.3.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
